Molecule,QikProp_.stars,QikProp_.amine,QikProp_.acid,QikProp_.amide,QikProp_.rotor,QikProp_.rtvFG,QikProp_CNS,QikProp_mol_MW,QikProp_dipole,QikProp_SASA,QikProp_FOSA,QikProp_FISA,QikProp_PISA,QikProp_WPSA,QikProp_volume,QikProp_donorHB,QikProp_accptHB,QikProp_dip.2.V,QikProp_ACxDN..5.SA,QikProp_glob,QikProp_QPpolrz,QikProp_QPlogPC16,QikProp_QPlogPoct,QikProp_QPlogPw,QikProp_QPlogPo.w,QikProp_QPlogS,QikProp_CIQPlogS,QikProp_QPlogHERG,QikProp_QPPCaco,QikProp_QPlogBB,QikProp_QPPMDCK,QikProp_QPlogKp,QikProp_IP.eV.,QikProp_EA.eV.,QikProp_.metab,QikProp_QPlogKhsa,QikProp_HumanOralAbsorption,QikProp_PercentHumanOralAbsorption,QikProp_SAfluorine,QikProp_SAamideO,QikProp_PSA,QikProp_.NandO,QikProp_RuleOfFive,QikProp_.ringatoms,QikProp_.in56,QikProp_.noncon,QikProp_.nonHatm,QikProp_RuleOfThree,QikProp_ACxDN..5.SAxSASA.MW
135-tribromo2-hydroxybenzene(246-tribromophenol),7,0,0,0,1,0,2,330.801,0.916,357.286,0,40.007,94.715,222.564,551.021,1,0.75,0.001523,0.0020992,0.9097623,16.16,6.073,7.364,3.556,3.204,-3.089,-5.959,-3.444,4135.383,0.727,10000,-1.827,6.034,5.291,2,-0.119,3,100,0,0,20.445,1,0,6,6,0,10,0,0.00226727
1-undecanol,5,0,0,0,10,0,0,172.31,1.987,506.816,449.834,56.982,0,0,818.335,1,1.7,0.0048225,0.0033543,0.834838,20.175,6.25,7.687,2.26,3.261,-3.237,-1.98,-4.204,2854.587,-0.584,1537.228,-1.61,10.933,-2.99,1,0.075,3,100,0,0,23.241,1,0,0,0,0,12,0,0.00986601
ethyl,0,0,0,0,3,1,0,165.191,5.128,404.184,141.82,108.283,154.081,0,630.134,1.5,3,0.0417365,0.0090905,0.8794423,18.609,6.1,9.916,6.967,1.859,-2.289,-1.786,-4.218,931.218,-0.551,458.035,-2.684,8.424,0.066,1,-0.366,3,90.973,0,0,61.264,3,0,6,6,0,12,0,0.0222423
pentanal,7,0,0,0,3,0,0,86.133,3.608,303.82,227.847,75.972,0,0,445.513,0,2,0.0292223,0,0.928516,9.749,2.881,3.611,2.275,0.8,-0.246,0.026,-2.689,1885.617,-0.205,981.934,-2.632,10.641,-0.837,1,-0.751,3,90.252,0,0,37.533,1,0,0,0,0,6,0,0
13-dibromopropane,11,0,0,0,2,2,2,201.888,2.06,295.043,136.348,0,0,158.695,425.093,0,0,0.0099828,0,0.9266914,9.574,3.204,2.65,0.043,2.555,-2.097,-2.241,-2.718,9906.038,0.465,10000,-1.327,11.089,0.658,0,-0.233,3,100,0,0,0,0,0,0,0,0,5,0,0
methylethylketoxime-(2-butanone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-octyn-3-ol,6,0,0,0,6,0,0,126.198,1.7,387.618,287.17,45.273,55.174,0,593.968,1.5,1.7,0.0048636,0.0053714,0.8815965,14.291,4.581,6.627,3.883,2.406,-1.739,-1.06,-3.711,3686.151,-0.186,2026.509,-1.583,11.081,-1.714,1,-0.412,3,100,0,0,21.386,1,0,0,0,0,9,0,0.0164983
n-butylacetate-(butylacetate),7,0,0,0,3,1,0,116.16,2.669,366.746,306.58,60.166,0,0,546.196,0,2,0.0130425,0,0.8811145,13.778,3.416,4.626,2.319,1.409,-1.307,-0.612,-3.456,2662.867,-0.134,1425.944,-2.34,11.157,-1.172,0,-0.459,3,96.501,0,0,38.408,2,0,0,0,0,8,0,0
camphor,3,0,0,0,0,0,1,152.236,3.835,360.04,318.373,41.668,0,0,594.355,0,2,0.0247481,0,0.9495346,17.632,4.489,6.282,2.839,1.91,-1.99,-1.409,-2.349,3988.085,0.255,2206.506,-2.287,10.294,-0.934,1,-0.192,3,100,0,0,25.735,1,0,7,7,6,11,0,0
246-trichlorophenol,4,0,0,0,1,0,2,197.448,1.395,344.106,0,41.299,96.331,206.476,527.095,1,0.75,0.0036899,0.0021796,0.9170611,15.218,5.792,7.007,3.538,3.685,-1.672,-3.165,-3.333,4020.3,0.683,10000,-1.845,9.298,0.455,1,-0.185,3,100,0,0,20.501,1,0,6,6,0,10,0,0.00379854
